M,N,K,LDA,LDB,LDC,TRANS_A,TRANS_B,TIME_S,GFLOPS
12,2,32,12,32,12,0,0,1.42595,46.9359
12,2,64,12,64,12,0,0,1.44231,48.6838
12,2,128,12,128,12,0,0,1.85622,49.6618
13,2,1,13,1,13,0,0,1.19234,10.5089
13,2,16,13,16,13,0,0,1.33765,42.7481
13,2,32,13,32,13,0,0,1.39811,47.6072
13,2,64,13,64,13,0,0,1.85861,50.5102
13,2,128,13,128,13,0,0,1.53854,51.935
14,2,1,14,1,14,0,0,0.7999,11.2014
14,2,16,14,16,14,0,0,1.24208,49.5788
14,2,32,14,32,14,0,0,1.61349,53.2678
14,2,64,14,64,14,0,0,1.55208,55.4421
14,2,128,14,128,14,0,0,1.48494,56.4908
15,2,1,15,1,15,0,0,1.20436,12.0046
15,2,16,15,16,15,0,0,1.35258,48.6133
15,2,32,15,32,15,0,0,1.69801,54.3622
15,2,64,15,64,15,0,0,1.80148,53.8959
15,2,128,15,128,15,0,0,1.89916,51.0591
16,2,1,16,1,16,0,0,0.772803,13.2505
16,2,16,16,16,16,0,0,1.43401,57.1267
16,2,32,16,32,16,0,0,1.4654,60.8961
16,2,64,16,64,16,0,0,1.81464,63.6727
16,2,128,16,128,16,0,0,1.51046,65.069
17,2,1,17,1,17,0,0,0.801673,13.5716
17,2,16,17,16,17,0,0,1.20081,54.4179
17,2,32,17,32,17,0,0,1.44991,48.0251
17,2,64,17,64,17,0,0,1.45535,41.0198
17,2,128,17,128,17,0,0,1.48387,38.565
18,2,1,18,1,18,0,0,0.817382,14.0938
18,2,16,18,16,18,0,0,1.28649,61.5437
18,2,32,18,32,18,0,0,1.39533,52.8391
18,2,64,18,64,18,0,0,1.46385,47.2298
18,2,128,18,128,18,0,0,1.83923,42.9558
19,2,1,19,1,19,0,0,0.846039,14.3729
19,2,16,19,16,19,0,0,1.21129,60.2934
19,2,32,19,32,19,0,0,1.40621,51.936
19,2,64,19,64,19,0,0,1.47764,47.8798
19,2,128,19,128,19,0,0,1.85589,39.3078
20,2,1,20,1,20,0,0,0.795111,16.0984
20,2,16,20,16,20,0,0,1.27112,68.9716
20,2,32,20,32,20,0,0,1.48947,58.9617
20,2,64,20,64,20,0,0,1.50721,52.5853
20,2,128,20,128,20,0,0,1.51446,47.7339
21,2,1,21,1,21,0,0,1.27573,15.6773
21,2,16,21,16,21,0,0,1.2602,64.0539
21,2,32,21,32,21,0,0,1.91419,48.1732
21,2,64,21,64,21,0,0,1.52367,45.7927
21,2,128,21,128,21,0,0,1.89459,43.2388
22,2,1,22,1,22,0,0,0.886039,15.8909
22,2,16,22,16,22,0,0,1.33247,72.6241
22,2,32,22,32,22,0,0,1.35885,62.2324
22,2,64,22,64,22,0,0,1.50163,56.2731
22,2,128,22,128,22,0,0,1.86069,45.3968
23,2,1,23,1,23,0,0,0.882541,16.6791
23,2,16,23,16,23,0,0,1.33273,66.1379
23,2,32,23,32,23,0,0,1.54848,53.7068
23,2,64,23,64,23,0,0,1.7874,49.425
23,2,128,23,128,23,0,0,1.8895,44.6441
24,2,1,24,1,24,0,0,0.805724,19.0636
24,2,16,24,16,24,0,0,1.14475,80.3463
24,2,32,24,32,24,0,0,1.41491,69.4773
24,2,64,24,64,24,0,0,1.84067,61.6422
24,2,128,24,128,24,0,0,1.89583,56.5583
25,2,1,25,1,25,0,0,0.883969,18.1002
25,2,16,25,16,25,0,0,1.2749,66.9333
25,2,32,25,32,25,0,0,1.50879,63.691
25,2,64,25,64,25,0,0,1.74462,58.6949
25,2,128,25,128,25,0,0,1.87687,51.1426
26,2,1,26,1,26,0,0,0.894811,18.5961
26,2,16,26,16,26,0,0,1.30128,76.8012
26,2,32,26,32,26,0,0,1.28673,68.9707
26,2,64,26,64,26,0,0,1.76092,62.5283
26,2,128,26,128,26,0,0,1.51821,53.2859
27,2,1,27,1,27,0,0,0.926195,18.657
27,2,16,27,16,27,0,0,1.4893,69.6863
27,2,32,27,32,27,0,0,1.54183,63.319
27,2,64,27,64,27,0,0,1.87198,59.0775
27,2,128,27,128,27,0,0,1.90089,52.0943
28,2,1,28,1,28,0,0,0.873512,20.5149
28,2,16,28,16,28,0,0,1.30248,82.3854
28,2,32,28,32,28,0,0,1.45778,78.6732
28,2,64,28,64,28,0,0,1.85915,71.1353
28,2,128,28,128,28,0,0,1.70196,65.2203
29,2,1,29,1,29,0,0,0.691718,20.2046
29,2,16,29,16,29,0,0,1.36342,72.6016
29,2,32,29,32,29,0,0,1.48653,70.4399
29,2,64,29,64,29,0,0,1.8643,65.9304
29,2,128,29,128,29,0,0,1.88377,59.1081
30,2,1,30,1,30,0,0,0.919809,20.8739
30,2,16,30,16,30,0,0,1.42087,81.1583
30,2,32,30,32,30,0,0,1.46858,73.7596
30,2,64,30,64,30,0,0,1.87124,67.8947
30,2,128,30,128,30,0,0,1.88973,60.9535
31,2,1,31,1,31,0,0,0.96744,20.5077
31,2,16,31,16,31,0,0,1.27512,74.8043
31,2,32,31,32,31,0,0,1.44832,69.1848
31,2,64,31,64,31,0,0,1.89108,62.9167
31,2,128,31,128,31,0,0,1.89957,58.9667
32,2,1,32,1,32,0,0,0.739556,20.7278
32,2,16,32,16,32,0,0,1.23505,88.4391
32,2,32,32,32,32,0,0,1.4575,84.2665
32,2,64,32,64,32,0,0,1.91321,79.0733
32,2,128,32,128,32,0,0,1.90544,71.18
33,2,1,33,1,33,0,0,1.15665,18.2597
33,2,16,33,16,33,0,0,1.34677,62.728
33,2,32,33,32,33,0,0,1.83914,55.1434
33,2,64,33,64,33,0,0,1.85725,51.9846
33,2,128,33,128,33,0,0,1.88053,49.0031
34,2,1,34,1,34,0,0,1.14941,18.9315
34,2,16,34,16,34,0,0,1.48074,70.4815
34,2,32,34,32,34,0,0,1.82265,63.673
34,2,64,34,64,34,0,0,1.85338,56.3442
34,2,128,34,128,34,0,0,1.87395,51.2521
35,2,1,35,1,35,0,0,0.900672,18.6155
35,2,16,35,16,35,0,0,1.53581,63.6905
35,2,32,35,32,35,0,0,1.688,55.4078
35,2,64,35,64,35,0,0,1.91024,53.6058
35,2,128,35,128,35,0,0,1.86496,47.5565
36,2,1,36,1,36,0,0,0.86308,20.1017
36,2,16,36,16,36,0,0,1.33536,75.1797
36,2,32,36,32,36,0,0,1.42132,67.6131
36,2,64,36,64,36,0,0,1.51591,62.0992
36,2,128,36,128,36,0,0,1.86828,55.7071
37,2,1,37,1,37,0,0,0.892357,19.8626
37,2,16,37,16,37,0,0,1.43277,60.9866
37,2,32,37,32,37,0,0,1.48266,56.7867
37,2,64,37,64,37,0,0,1.87488,55.0933
37,2,128,37,128,37,0,0,1.51039,50.1697
38,2,1,38,1,38,0,0,0.902052,20.1802
38,2,16,38,16,38,0,0,1.71503,75.6292
38,2,32,38,32,38,0,0,1.51762,69.9024
38,2,64,38,64,38,0,0,1.85926,64.396
38,2,128,38,128,38,0,0,1.53766,52.3607
39,2,1,39,1,39,0,0,0.925786,20.1803
39,2,16,39,16,39,0,0,1.46094,68.3396
39,2,32,39,32,39,0,0,1.51552,63.2228
39,2,64,39,64,39,0,0,1.84353,60.4429
39,2,128,39,128,39,0,0,1.89645,51.563
40,2,1,40,1,40,0,0,0.695321,22.1259
40,2,16,40,16,40,0,0,1.37799,80.9491
40,2,32,40,32,40,0,0,1.39551,73.3783
40,2,64,40,64,40,0,0,1.89618,68.2291
40,2,128,40,128,40,0,0,1.88407,61.3956
41,2,1,41,1,41,0,0,0.929917,21.2482
41,2,16,41,16,41,0,0,1.4355,73.1173
41,2,32,41,32,41,0,0,1.51091,66.732
41,2,64,41,64,41,0,0,1.52505,63.5201
41,2,128,41,128,41,0,0,1.50855,56.1215
42,2,1,42,1,42,0,0,0.717654,22.4015
